reason,corpus,file,line,office,section,source,author_line
"Kommemorationsmarker, keine eigentliche Werkquelle",Sancti,Sancti/01-14cc.txt,27,S. Felicis Presbyteri et Martyris,Lectio93,"Commemoratio S. Guarini, Episcopi et Confessoris","Felix Nolanus presbyter, cum in idola vehementius inveherétur, ab infidelibus varie vexatus, in carcerem conjícitur. Unde ab Angelo nocte edúctus, quærere jussus est Maximianum Nolæ episcopum: qui cum senio confectus desperáret se ferre posse supplícia persequéntium, se abdíderat in silvam. Quo cum Felix Deo duce pervenísset, sanctum episcopum humi jacéntem pene mortuum videt; quem recreátum ac sublátum in humeros, apud fidélem víduam reficiéndum curávit. Sed cum is íterum idolórum cultores impietátis argúeret, facto in ipsum ímpetu, fúgiens in angusto duórum paríetum intervallo se occultávit; qui áditus cum repénte araneárum telis pertextus visus esset, némini recentis látebræ suspiciónem relíquit. Inde ígitur evádens Felix in ædibus piæ mulíeris tres menses látuit. Cum vero Dei Ecclésia requiéscere cœpísset, Nolam rédiens, multisque ibi vitæ exemplis, et doctrinæ præceptis, miraculisque ad Christi fidem conversis, constanter étiam recusato ejus urbis episcopatu, obdormívit in Dómino, sepultúsque est prope Nolam in loco, quem in Pincis appellábant."
"Kommemorationsmarker, keine eigentliche Werkquelle",Sancti,Sancti/08-17.txt,30,S. Hyacinthi Confessoris,Lectio94,Commemoratio S. Hyacinthi Confessóris,"Hyacínthus Polónus, nobílibus et christiánis paréntibus in Camiénsi villa episcopátus Vratislaviénsis natus est. Inter canónicos Cracoviénses adscítus, insígni morum pietáte et eruditióne céteros antecélluit. Romæ in Prædicatórum órdinem ab ipso institutóre sancto Domínico adscríptus, perféctam vivéndi ratiónem, quam ab ipso didícerat, usque ad finem vitæ sanctíssime retínuit, virginitáte perpétuo serváta. Remíssus in pátriam, sex sui órdinis monastériis exædificátis, incredíbile dictu est, quantum verbi Dei prædicatióne et vitæ innocéntia apud omnes profécerit, frequéntibus clarus miráculis. Inter quæ illud insígne, quod Vándalum flúvium prope Visográdum aquis redundántem, nullo navígio usus, trajécit, sóciis quoque expánso super undas pállio tradúctis. Admirábili vitæ génere ad quadragínta prope annos post professiónem perdúcto, ipso assúmptæ Vírginis festo, spíritum Deo réddidit, anno salútis millésimo ducentésimo quinquagésimo séptimo, et a Cleménte octávo in Sanctórum númerum fuit relátus."
"Kommemorationsmarker, keine eigentliche Werkquelle",Sancti,Sancti/09-09.txt,17,S. Gorgonii Martyris,Lectio93,Commemoratio S. Gorgonii Martyris,
"Kommemorationsmarker, keine eigentliche Werkquelle",Sancti,Sancti/09-11.txt,17,Ss. Proti et Hyacinthi Martyrum,Lectio93,Commemoratio pro Ss. Mart. Proto et Hyacintho.,
"Kommemorationsmarker, keine eigentliche Werkquelle",Tempora,Tempora/Pasc3-0t.txt,14,Patrocinii St. Joseph Confessoris Sponsi B.M.V. confessoris,Lectio93,Commemoratio Dominica Tertia Post Pascha,
"Kommemorationsmarker, keine eigentliche Werkquelle",Tempora,Tempora/Pent01-0.txt,255,Dominica Sanctissimæ Trinitatis,Lectio9,Commemoratio Dominicæ,
post-1906-Textschicht in DO,Tempora,Tempora/Pent02-6.txt,45,Die II infra Octavam SSmi Cordis Jesu,Lectio4,Encýclica Miserentíssimus Redémptor,
post-1906-Textschicht in DO,Tempora,Tempora/Pent03-0.txt,54,Dominica III Post Pentecosten infra Octavam SSmi Cordis D.N.J.C,Lectio4,Ex lítteris Encyclicis Pii Papæ undécimi,
post-1906-Textschicht in DO,Tempora,Tempora/Pent03-1.txt,34,Die IV infra Octavam SSmi Cordis Jesu,Lectio4,Ex lítteris Encyclicis Pii Papæ undécimi,
post-1906-Textschicht in DO,Tempora,Tempora/Pent03-3.txt,37,Die VI infra Octavam SSmi Cordis Jesu,Lectio4,Ex lítteris Encyclicis Pii Papæ undécimi,
post-1906-Textschicht in DO,Tempora,Tempora/Pent03-4.txt,39,Die VII infra Octavam SSmi Cordis Jesu,Lectio4,Ex lítteris Encyclicis Pii Papæ undécimi,
