corpus,file,line,office,section,lesson_span,lesson_count,author,work,source,author_line,incipit
Commune,Commune/C1.txt,198,Commune Apostolorum,Lectio4,Lectio4,1,Gregorius Magnus,Homiliae in Evangelia,"Homilia 30 in Evangelia, post medium",Sermo sancti Gregórii Papæ,"Scriptum est: Spíritus Dómini ornávit cælos. Ornaménta enim cælórum sunt virtútes prædicántium. Quæ vidélicet ornaménta Paulus enúmerat, dicens: Álii datur per Spíritum sermo sapié"
Commune,Commune/C1.txt,233,Commune Apostolorum,Lectio7,Lectio7-9,3,Hieronymus Stridonensis,Commentarii in Matthaeum,Lib. 3. in Matth. cap. 19.,Homilía sancti Hierónymi Presbýteri.,"Grandis fidúcia! Petrus piscátor erat, dives non fúerat, cibos manu et arte quærébat: et tamen lóquitur confidénter: Relíquimus ómnia. Et quia non súfficit tantum relínquere, jungi"
Commune,Commune/C1.txt,334,Commune Apostolorum,Lectio4 in 2 loco,Lectio4-5,2,Augustinus Hipponensis,Ante medium,Ante medium,De Expositióne sancti Augustíni Epíscopi super psalmum octogésimum sextum,Fundaménta ejus in móntibus sanctis: díligit Dóminus portas Sion. Quare sunt fundaménta Apóstoli et Prophétæ? Quia eórum auctóritas portat infirmitátem nostram. Quare sunt portæ? Q
Commune,Commune/C1.txt,349,Commune Apostolorum,Lectio7 in 2 loco,Lectio7-9,3,Beda Venerabilis,Homilia in Natali S. Benedicti Ep.,Homilia in Natali S. Benedicti Ep.,Homilía sancti Bedæ Venerábilis Presbýteri,"Perféctus ille est, qui ábiens vendit ómnia quæ habet, et dat paupéribus, ac véniens séquitur Christum; habébit enim thesáurum non deficiéntem in cælis. Unde bene, interrogánte Pet"
Commune,Commune/C10.txt,123,Sanctæ Mariæ Sabbato,Lectio M01,Lectio M01,1,Ambrosius Mediolanensis,"Epist. 81, alias 7, post initium","Epist. 81, alias 7, post initium",Ex Epístola sancti Ambrósii Epíscopi ad Sirícium Papam,"De via perversitátis prodúntur dícere: Virgo concépit, sed non virgo generávit. Pótuit ergo virgo concípere, non pótuit virgo generáre, cum semper concéptus præcédat, partus sequát"
Commune,Commune/C10.txt,129,Sanctæ Mariæ Sabbato,Lectio M02,Lectio M02,1,Hieronymus Stridonensis,"Apologia ad Pammachium pro lib. adversus Jovinianum, in fine","Apologia ad Pammachium pro lib. adversus Jovinianum, in fine",Ex libro sancti Hierónymi Presbýteri advérsus Joviniánum,"Christus virgo, Mater vírginis nostri virgo perpétua, mater et virgo. Jesus enim clausis ingréssus est óstiis; et in sepúlcro ejus, quod novum et in petra duríssima fúerat excísum,"
Commune,Commune/C10.txt,135,Sanctæ Mariæ Sabbato,Lectio M03,Lectio M03,1,Irenaeus Lugdunensis,"Lib. 5, c. 19","Lib. 5, c. 19",Ex libro sancti Irenǽi Epíscopi et Mártyris advérsus hǽreses,"In sua própria veniénte Dómino et sua própria eum bajulánte conditióne, quæ bajulátur ab ipso, et recapitulatiónem ejus quæ in ligno fuit inobediéntiæ, per eam quæ in ligno est obe"
Commune,Commune/C10.txt,141,Sanctæ Mariæ Sabbato,Lectio M04,Lectio M04,1,Hieronymus Stridonensis,Lib. 13 in cap. 44,Lib. 13 in cap. 44,De Expositióne sancti Hierónymi Presbýteri in Ezechiélem Prophétam,"Porta hæc clausa erit, et non aperiétur. Pulchre quidam portam clausam, per quam solus Dóminus Deus Israël ingréditur, et dux cui porta clausa est, Maríam Vírginem intéllegunt, quæ"
Commune,Commune/C10.txt,147,Sanctæ Mariæ Sabbato,Lectio M05,Lectio M05,1,Unklarer Autor,Lib. 3 cap. 4 in fine,Lib. 3 cap. 4 in fine,,"Per féminam mors, per féminam vita: per Hevam intéritus, per Maríam salus. Illa, corrúpta, secúta est seductórem: hæc, íntegra, péperit Salvatórem. Illa póculum a serpénte propinát"
Commune,Commune/C10.txt,153,Sanctæ Mariæ Sabbato,Lectio M06,Lectio M06,1,Bernardus Claraevallensis,Sermones,"De Verbis Apocalypsis cap. 12, Signum magnum",Sermo sancti Bernárdi Abbátis,"Veheménter quidem nobis, dilectíssimi, vir unus et múlier una nocuére; sed, grátias Deo, per unum nihilóminus virum et mulíerum unam ómnia restaurántur, nec sine magno fǽnore grati"
